No,InChI,SMILES,RT_220,k,lnk
1a,"InChI=1S/C17H18ClNO/c1-11(2)14-5-4-12(3)16(10-14)19-17(20)13-6-8-15(18)9-7-13/h4-11H,1-3H3,(H,19,20)",CC(C)c1ccc(c(NC(c2ccc(cc2)Cl)=O)c1)C,148.0,2.7185929648241207,1.000114454121989
1b,"InChI=1S/C13H11ClN2O2/c1-18-12-4-2-3-11(15-12)16-13(17)9-5-7-10(14)8-6-9/h2-8H,1H3,(H,15,16,17)",c1cc(ccc1C(Nc1cccc(n1)OC)=O)Cl,132.6,2.3316582914572863,0.8465797275017628
1c,"InChI=1S/C12H16ClNO/c1-8(2)9(3)14-12(15)10-4-6-11(13)7-5-10/h4-9H,1-3H3,(H,14,15)",c1cc(ccc1C(NC(C(C)C)C)=O)Cl,76.0,0.9095477386934675,-0.09480779345866647
1d,"InChI=1S/C18H18ClNO3/c1-18(2,3)23-17(22)13-6-10-15(11-7-13)20-16(21)12-4-8-14(19)9-5-12/h4-11H,1-3H3,(H,20,21)",CC(C)(C)OC(c1ccc(cc1)NC(c1ccc(cc1)Cl)=O)=O,220.20000000000002,4.532663316582916,1.5113096953381315
1e,"InChI=1S/C16H16ClNO2/c17-15-8-6-14(7-9-15)16(19)18-10-11-20-12-13-4-2-1-3-5-13/h1-9H,10-12H2,(H,18,19)",c1cc(ccc1Cl)C(=O)NCCOCc1ccccc1,132.20000000000002,2.3216080402010055,0.8422600663572467
1f,"InChI=1S/C18H14ClNO/c19-16-10-8-14(9-11-16)18(21)20-12-15-6-3-5-13-4-1-2-7-17(13)15/h1-11H,12H2,(H,20,21)",c1cc(ccc1C(=O)NCc1cccc2ccccc12)Cl,381.0,8.57286432160804,2.148601903327132
1g,"InChI=1S/C19H14ClNO2/c20-15-8-6-14(7-9-15)19(22)21-16-10-12-18(13-11-16)23-17-4-2-1-3-5-17/h1-13H,(H,21,22)",c1cc(ccc1Cl)C(=O)Nc1ccc(cc1)Oc1ccccc1,504.40000000000003,11.673366834170857,2.457309908045917
1h,"InChI=1S/C12H8ClFN2O/c13-9-3-1-8(2-4-9)12(17)16-10-5-6-11(14)15-7-10/h1-7H,(H,16,17)",c1cc(ccc1Cl)C(=O)Nc1ccc(F)nc1,161.0,3.0452261306532664,1.1135751613448222
2a,"InChI=1S/C18H20FNO/c1-12(2)15-8-7-13(3)17(11-15)20-18(21)10-14-5-4-6-16(19)9-14/h4-9,11-12H,10H2,1-3H3,(H,20,21)",CC(C)c1cc(c(cc1)C)NC(=O)Cc1cccc(F)c1,97.80000000000001,1.4572864321608046,0.37657609825602767
2b,"InChI=1S/C14H13FN2O2/c1-19-14-7-3-6-12(17-14)16-13(18)9-10-4-2-5-11(15)8-10/h2-8H,9H2,1H3,(H,16,17,18)",N(c1cccc(OC)n1)C(=O)Cc1cc(ccc1)F,105.60000000000001,1.6532663316582918,0.5027529260408797
2c,"InChI=1S/C13H18FNO/c1-9(2)10(3)15-13(16)8-11-5-4-6-12(14)7-11/h4-7,9-10H,8H2,1-3H3,(H,15,16)",CC(C)C(C)NC(Cc1cccc(c1)F)=O,61.800000000000004,0.5527638190954776,-0.5928244589320758
2d,"InChI=1S/C19H20FNO3/c1-19(2,3)24-18(23)14-7-9-16(10-8-14)21-17(22)12-13-5-4-6-15(20)11-13/h4-11H,12H2,1-3H3,(H,21,22)",CC(C)(C)OC(=O)c1ccc(cc1)NC(=O)Cc1cc(ccc1)F,133.4,2.3517587939698497,0.8551634711931545
2e,"InChI=1S/C17H18FNO2/c18-16-8-4-7-15(11-16)12-17(20)19-9-10-21-13-14-5-2-1-3-6-14/h1-8,11H,9-10,12-13H2,(H,19,20)",c1ccccc1COCCNC(Cc1cc(F)ccc1)=O,104.80000000000001,1.6331658291457292,0.4905203576052454
2f,"InChI=1S/C19H16FNO/c20-17-9-3-5-14(11-17)12-19(22)21-13-16-8-4-7-15-6-1-2-10-18(15)16/h1-11H,12-13H2,(H,21,22)",C(c1cccc2ccccc12)NC(=O)Cc1cc(ccc1)F,238.20000000000002,4.984924623115579,1.6064182825603806
2g,"InChI=1S/C20H16FNO2/c21-16-6-4-5-15(13-16)14-20(23)22-17-9-11-19(12-10-17)24-18-7-2-1-3-8-18/h1-13H,14H2,(H,22,23)",c1cc(ccc1Oc1ccccc1)NC(Cc1cc(F)ccc1)=O,262.0,5.582914572864322,1.7197109649151376
2h,"InChI=1S/C13H10F2N2O/c14-10-3-1-2-9(6-10)7-13(18)17-11-4-5-12(15)16-8-11/h1-6,8H,7H2,(H,17,18)",n1c(ccc(NC(=O)Cc2cccc(F)c2)c1)F,107.60000000000001,1.7035175879396989,0.5326952826559581
3a,"InChI=1S/C18H20FNO2/c1-11(2)13-9-8-12(3)15(10-13)20-18(21)14-6-5-7-16(22-4)17(14)19/h5-11H,1-4H3,(H,20,21)",CC(C)c1cc(c(C)cc1)NC(c1cccc(OC)c1F)=O,130.4,2.276381909547739,0.8225873007585418
3b,"InChI=1S/C14H13FN2O3/c1-19-10-6-3-5-9(13(10)15)14(18)17-11-7-4-8-12(16-11)20-2/h3-8H,1-2H3,(H,16,17,18)",C(c1cccc(c1F)OC)(=O)Nc1cccc(OC)n1,131.8,2.3115577889447243,0.8379216647586486
3c,"InChI=1S/C13H18FNO2/c1-8(2)9(3)15-13(16)10-6-5-7-11(17-4)12(10)14/h5-9H,1-4H3,(H,15,16)",CC(C)C(NC(c1cccc(c1F)OC)=O)C,66.2,0.6633165829145731,-0.41050290213812124
3d,"InChI=1S/C19H20FNO4/c1-19(2,3)25-18(23)12-8-10-13(11-9-12)21-17(22)14-6-5-7-15(24-4)16(14)20/h5-11H,1-4H3,(H,21,22)",CC(C)(C)OC(=O)c1ccc(cc1)NC(c1cccc(OC)c1F)=O,179.4,3.507537688442212,1.2549142780378804
3e,"InChI=1S/C17H18FNO3/c1-21-15-9-5-8-14(16(15)18)17(20)19-10-11-22-12-13-6-3-2-4-7-13/h2-9H,10-12H2,1H3,(H,19,20)",c1cc(ccc1)COCCNC(=O)c1cccc(c1F)OC,130.4,2.276381909547739,0.8225873007585418
3f,"InChI=1S/C19H16FNO2/c1-23-17-11-5-10-16(18(17)20)19(22)21-12-14-8-4-7-13-6-2-3-9-15(13)14/h2-11H,12H2,1H3,(H,21,22)",c12ccccc1c(CNC(=O)c1cccc(c1F)OC)ccc2,300.0,6.5376884422110555,1.8775836537880128
3g,"InChI=1S/C20H16FNO3/c1-24-18-9-5-8-17(19(18)21)20(23)22-14-10-12-16(13-11-14)25-15-6-3-2-4-7-15/h2-13H,1H3,(H,22,23)",c1cc(ccc1NC(c1c(c(OC)ccc1)F)=O)Oc1ccccc1,371.8,8.341708542713569,2.121268056626097
3h,"InChI=1S/C13H10F2N2O2/c1-19-10-4-2-3-9(12(10)15)13(18)17-8-5-6-11(14)16-7-8/h2-7H,1H3,(H,17,18)",n1c(ccc(NC(c2c(c(ccc2)OC)F)=O)c1)F,168.8,3.241206030150754,1.1759454920712802
4a,"InChI=1S/C22H23NO/c1-15(2)19-10-8-16(3)21(14-19)23-22(24)13-17-9-11-18-6-4-5-7-20(18)12-17/h4-12,14-15H,13H2,1-3H3,(H,23,24)",CC(C)c1cc(c(cc1)C)NC(Cc1ccc2c(c1)cccc2)=O,201.60000000000002,4.06532663316583,1.4024940923339995
4b,"InChI=1S/C18H16N2O2/c1-22-18-8-4-7-16(20-18)19-17(21)12-13-9-10-14-5-2-3-6-15(14)11-13/h2-11H,12H2,1H3,(H,19,20,21)",COc1nc(ccc1)NC(=O)Cc1ccc2c(c1)cccc2,240.60000000000002,5.045226130653267,1.6184424755271822
4c,"InChI=1S/C17H21NO/c1-12(2)13(3)18-17(19)11-14-8-9-15-6-4-5-7-16(15)10-14/h4-10,12-13H,11H2,1-3H3,(H,18,19)",CC(C)C(C)NC(=O)Cc1cc2c(cccc2)cc1,103.0,1.5879396984924625,0.46243738886241986
4d,"InChI=1S/C23H23NO3/c1-23(2,3)27-22(26)18-10-12-20(13-11-18)24-21(25)15-16-8-9-17-6-4-5-7-19(17)14-16/h4-14H,15H2,1-3H3,(H,24,25)",CC(C)(C)OC(c1ccc(cc1)NC(=O)Cc1ccc2c(cccc2)c1)=O,315.6,6.9296482412060305,1.9358090530688095
