SMILES,Exp_RT
c1cc(ccc1Cl)C(Nc1c(ccc(C(C)C)c1)C)=O,148
c1cc(ccc1C(Nc1cccc(OC)n1)=O)Cl,132.6
c1cc(ccc1C(=O)NC(C)C(C)C)Cl,76
CC(C)(C)OC(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)Cl,220.2
c1cc(ccc1Cl)C(NCCOCc1ccccc1)=O,132.2
c1cc(ccc1Cl)C(NCc1cccc2c1cccc2)=O,381
c1cc(ccc1NC(c1ccc(cc1)Cl)=O)Oc1ccccc1,504.4
c1cc(ccc1C(=O)Nc1ccc(F)nc1)Cl,161
CC(C)c1ccc(C)c(c1)NC(=O)Cc1cc(ccc1)F,97.8
c1cc(OC)nc(c1)NC(Cc1cccc(c1)F)=O,105.6
CC(C)C(C)NC(=O)Cc1cccc(c1)F,61.8
CC(C)(C)OC(=O)c1ccc(cc1)NC(=O)Cc1cccc(c1)F,133.4
c1cc(ccc1)COCCNC(=O)Cc1cccc(c1)F,104.8
O=C(Cc1cccc(c1)F)NCc1c2c(ccc1)cccc2,238.2
c1cc(ccc1NC(Cc1cccc(F)c1)=O)Oc1ccccc1,262
Fc1cccc(CC(=O)Nc2cnc(F)cc2)c1,107.6
CC(C)c1ccc(C)c(NC(=O)c2c(c(ccc2)OC)F)c1,130.4
c1cc(OC)nc(c1)NC(c1c(c(ccc1)OC)F)=O,131.8
CC(C)C(C)NC(c1c(c(ccc1)OC)F)=O,66.2
CC(C)(C)OC(=O)c1ccc(cc1)NC(c1c(c(ccc1)OC)F)=O,179.4
c1cc(ccc1)COCCNC(c1c(c(ccc1)OC)F)=O,130.4
c1(c(F)c(C(=O)NCc2c3c(ccc2)cccc3)ccc1)OC,300
c1cc(ccc1NC(c1cccc(OC)c1F)=O)Oc1ccccc1,371.8
c1ccc(c(c1C(=O)Nc1cnc(F)cc1)F)OC,168.8
CC(C)c1cc(c(cc1)C)NC(=O)Cc1ccc2ccccc2c1,201.6
N(c1nc(OC)ccc1)C(Cc1ccc2ccccc2c1)=O,240.6
CC(C)C(NC(=O)Cc1cc2c(cccc2)cc1)C,103
CC(C)(C)OC(=O)c1ccc(cc1)NC(=O)Cc1ccc2ccccc2c1,315.6
c1cc(ccc1)COCCNC(=O)Cc1cc2ccccc2cc1,228.2
N(C(=O)Cc1ccc2ccccc2c1)Cc1cccc2ccccc12,654.4
c1cc(ccc1NC(Cc1ccc2ccccc2c1)=O)Oc1ccccc1,719.8
c1c(NC(=O)Cc2ccc3ccccc3c2)ccc(n1)F,260.4
CC(C)c1ccc(C)c(NC(=O)c2c(Cl)ccc(c2)OC)c1,149.2
c1cc(OC)nc(c1)NC(=O)c1c(Cl)ccc(OC)c1,150.6
CC(C)C(NC(c1cc(OC)ccc1Cl)=O)C,78.8
CC(C)(C)OC(=O)c1ccc(cc1)NC(=O)c1cc(OC)ccc1Cl,221.2
c1cc(ccc1)COCCNC(=O)c1cc(OC)ccc1Cl,149.4
c12c(cccc1CNC(c1c(Cl)ccc(OC)c1)=O)cccc2,404.8
c1cc(ccc1NC(=O)c1c(ccc(OC)c1)Cl)Oc1ccccc1,503.2
Fc1ncc(cc1)NC(=O)c1c(ccc(OC)c1)Cl,185.6
CC(C)c1cc(NC(CCC(C)CCCC)=O)c(C)cc1,81.6
N(C(CCC(C)CCCC)=O)c1nc(OC)ccc1,77
CC(C)C(NC(=O)CCC(CCCC)C)C,56.4
CC(C)(C)OC(=O)c1ccc(cc1)NC(CCC(C)CCCC)=O,102.8
c1cc(ccc1)COCCNC(CCC(CCCC)C)=O,98
C(CC(C)CCCC)C(=O)NCc1c2c(ccc1)cccc2,158.6
c1cc(ccc1NC(CCC(C)CCCC)=O)Oc1ccccc1,179.2
Fc1ncc(cc1)NC(CCC(C)CCCC)=O,80.6
CC(C)c1ccc(C)c(NC(c2ccc(Cl)nc2Cl)=O)c1,174.8
n1c(OC)cccc1NC(c1c(Cl)nc(Cl)cc1)=O,180.8
CC(C)C(NC(=O)c1c(Cl)nc(Cl)cc1)C,88
CC(C)(C)OC(=O)c1ccc(cc1)NC(c1ccc(Cl)nc1Cl)=O,224.4
c1cc(ccc1)COCCNC(=O)c1c(Cl)nc(cc1)Cl,168.6
Clc1nc(c(C(=O)NCc2c3c(ccc2)cccc3)cc1)Cl,488.6
c1cc(ccc1Oc1ccccc1)NC(c1ccc(Cl)nc1Cl)=O,534
c1(Cl)ccc(C(=O)Nc2cnc(F)cc2)c(Cl)n1,182.4
CC(C)c1ccc(C)c(NC(CCCCC(=O)OC)=O)c1,88
c1cc(OC)nc(c1)NC(=O)CCCCC(=O)OC,86.6
CC(C)C(C)NC(CCCCC(=O)OC)=O,59.6
CC(C)(C)OC(=O)c1ccc(cc1)NC(CCCCC(=O)OC)=O,107.8
c1cc(ccc1)COCCNC(CCCCC(=O)OC)=O,110.2
C(CCC(=O)NCc1c2c(ccc1)cccc2)CC(=O)OC,183.8
c1cc(ccc1Oc1ccccc1)NC(=O)CCCCC(=O)OC,193.2
c1c(ncc(c1)NC(=O)CCCCC(=O)OC)F,87.6
