SMILES,Exp_LnRF,Exp_RT
c1cc(ccc1Cl)C(Nc1c(ccc(C(C)C)c1)C)=O,1.000114454,148
c1cc(ccc1C(Nc1cccc(OC)n1)=O)Cl,0.846579728,132.6
c1cc(ccc1C(=O)NC(C)C(C)C)Cl,-0.094807793,76
CC(C)(C)OC(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)Cl,1.511309695,220.2
c1cc(ccc1Cl)C(NCCOCc1ccccc1)=O,0.842260066,132.2
c1cc(ccc1Cl)C(NCc1cccc2c1cccc2)=O,2.148601903,381
c1cc(ccc1NC(c1ccc(cc1)Cl)=O)Oc1ccccc1,2.457309908,504.4
c1cc(ccc1C(=O)Nc1ccc(F)nc1)Cl,1.113575161,161
CC(C)c1ccc(C)c(c1)NC(=O)Cc1cc(ccc1)F,0.376576098,97.8
c1cc(OC)nc(c1)NC(Cc1cccc(c1)F)=O,0.502752926,105.6
CC(C)C(C)NC(=O)Cc1cccc(c1)F,-0.592824459,61.8
CC(C)(C)OC(=O)c1ccc(cc1)NC(=O)Cc1cccc(c1)F,0.855163471,133.4
c1cc(ccc1)COCCNC(=O)Cc1cccc(c1)F,0.490520358,104.8
O=C(Cc1cccc(c1)F)NCc1c2c(ccc1)cccc2,1.606418283,238.2
c1cc(ccc1NC(Cc1cccc(F)c1)=O)Oc1ccccc1,1.719710965,262
Fc1cccc(CC(=O)Nc2cnc(F)cc2)c1,0.532695283,107.6
CC(C)c1ccc(C)c(NC(=O)c2c(c(ccc2)OC)F)c1,0.822587301,130.4
c1cc(OC)nc(c1)NC(c1c(c(ccc1)OC)F)=O,0.837921665,131.8
CC(C)C(C)NC(c1c(c(ccc1)OC)F)=O,-0.410502902,66.2
CC(C)(C)OC(=O)c1ccc(cc1)NC(c1c(c(ccc1)OC)F)=O,1.254914278,179.4
c1cc(ccc1)COCCNC(c1c(c(ccc1)OC)F)=O,0.822587301,130.4
c1(c(F)c(C(=O)NCc2c3c(ccc2)cccc3)ccc1)OC,1.877583654,300
