SMILES,Exp_LnRF
c1cc(ccc1Cl)C(Nc1c(ccc(C(C)C)c1)C)=O,1.000114454
c1cc(ccc1C(Nc1cccc(OC)n1)=O)Cl,0.846579728
c1cc(ccc1C(=O)NC(C)C(C)C)Cl,-0.094807793
CC(C)(C)OC(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)Cl,1.511309695
c1cc(ccc1Cl)C(NCCOCc1ccccc1)=O,0.842260066
c1cc(ccc1Cl)C(NCc1cccc2c1cccc2)=O,2.148601903
c1cc(ccc1NC(c1ccc(cc1)Cl)=O)Oc1ccccc1,2.457309908
c1cc(ccc1C(=O)Nc1ccc(F)nc1)Cl,1.113575161
CC(C)c1ccc(C)c(c1)NC(=O)Cc1cc(ccc1)F,0.376576098
c1cc(OC)nc(c1)NC(Cc1cccc(c1)F)=O,0.502752926
CC(C)C(C)NC(=O)Cc1cccc(c1)F,-0.592824459
CC(C)(C)OC(=O)c1ccc(cc1)NC(=O)Cc1cccc(c1)F,0.855163471
c1cc(ccc1)COCCNC(=O)Cc1cccc(c1)F,0.490520358
O=C(Cc1cccc(c1)F)NCc1c2c(ccc1)cccc2,1.606418283
c1cc(ccc1NC(Cc1cccc(F)c1)=O)Oc1ccccc1,1.719710965
Fc1cccc(CC(=O)Nc2cnc(F)cc2)c1,0.532695283
CC(C)c1ccc(C)c(NC(=O)c2c(c(ccc2)OC)F)c1,0.822587301
c1cc(OC)nc(c1)NC(c1c(c(ccc1)OC)F)=O,0.837921665
CC(C)C(C)NC(c1c(c(ccc1)OC)F)=O,-0.410502902
CC(C)(C)OC(=O)c1ccc(cc1)NC(c1c(c(ccc1)OC)F)=O,1.254914278
c1cc(ccc1)COCCNC(c1c(c(ccc1)OC)F)=O,0.822587301
c1(c(F)c(C(=O)NCc2c3c(ccc2)cccc3)ccc1)OC,1.877583654
c1cc(ccc1NC(c1cccc(OC)c1F)=O)Oc1ccccc1,2.121268057
c1ccc(c(c1C(=O)Nc1cnc(F)cc1)F)OC,1.175945492
CC(C)c1cc(c(cc1)C)NC(=O)Cc1ccc2ccccc2c1,1.402494092
N(c1nc(OC)ccc1)C(Cc1ccc2ccccc2c1)=O,1.618442476
CC(C)C(NC(=O)Cc1cc2c(cccc2)cc1)C,0.462437389
CC(C)(C)OC(=O)c1ccc(cc1)NC(=O)Cc1ccc2ccccc2c1,1.935809053
c1cc(ccc1)COCCNC(=O)Cc1cc2ccccc2cc1,1.55470045
N(C(=O)Cc1ccc2ccccc2c1)Cc1cccc2ccccc12,2.737104737
c1cc(ccc1NC(Cc1ccc2ccccc2c1)=O)Oc1ccccc1,2.838225886
c1c(NC(=O)Cc2ccc3ccccc3c2)ccc(n1)F,1.712484195
CC(C)c1ccc(C)c(NC(=O)c2c(Cl)ccc(c2)OC)c1,1.011143978
c1cc(OC)nc(c1)NC(=O)c1c(Cl)ccc(OC)c1,1.023859862
CC(C)C(NC(c1cc(OC)ccc1Cl)=O)C,-0.020305266
CC(C)(C)OC(=O)c1ccc(cc1)NC(=O)c1cc(OC)ccc1Cl,1.516837625
c1cc(ccc1)COCCNC(=O)c1cc(OC)ccc1Cl,1.012970462
c12c(cccc1CNC(c1c(Cl)ccc(OC)c1)=O)cccc2,2.216030441
c1cc(ccc1NC(=O)c1c(ccc(OC)c1)Cl)Oc1ccccc1,2.4547237
Fc1ncc(cc1)NC(=O)c1c(ccc(OC)c1)Cl,1.298368907
CC(C)c1cc(NC(CCC(C)CCCC)=O)c(C)cc1,0.049029427
N(C(CCC(C)CCCC)=O)c1nc(OC)ccc1,-0.067558151
CC(C)C(NC(=O)CCC(CCCC)C)C,-0.874464217
CC(C)(C)OC(=O)c1ccc(cc1)NC(CCC(C)CCCC)=O,0.459267814
c1cc(ccc1)COCCNC(CCC(CCCC)C)=O,0.380018442
C(CC(C)CCCC)C(=O)NCc1c2c(ccc1)cccc2,1.093574495
c1cc(ccc1NC(CCC(C)CCCC)=O)Oc1ccccc1,1.253480586
Fc1ncc(cc1)NC(CCC(C)CCCC)=O,0.024815169
CC(C)c1ccc(C)c(NC(c2ccc(Cl)nc2Cl)=O)c1,1.221407866
n1c(OC)cccc1NC(c1c(Cl)nc(Cl)cc1)=O,1.264892978
